name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
Country-style pâté with mushrooms,12600,5930,28100,1950,580,10600,0,0,0,1730,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork liver pâté, superior quality",13000,2400,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0
Pork liver pâté,10800,2910,33300,1380,200,11600,13500,4200,127,1680,11,0.49,6.08,14.1,0.14,163,180,671,2.68,8.8,0,0,1.07,21.3,0.2,1.11,5.6,1.67,0.2,0.252,0.0099
"Pork liver mousse, superior quality",11100,10300,26100,2180,720,10500,0,0,0,1990,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork liver mousse,12000,3390,24900,1890,750,9340,11300,3170,132,1720,18.5,0.42,4.02,11.7,0.2,148,180,680,2.36,2.75,0,0.00026,0.41,0,0.11,0,5.11,0,0.16,0.00984,0.00311
Duck mousse,10100,7070,36100,2050,450,13700,13100,6180,0,1580,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0
Poultry liver pâté,13800,3740,22900,810,0,7120,8870,3980,391,1140,10,0.18,9.19,13,0.16,175,95,467,2.14,0.217,0,0,0.98,10,0.052,1.4,7.52,2.62,0.26,0.321,0.00807
Goose liver pâté,11400,4670,43800,0,0,14500,25600,840,150,1740,70,0.4,5.5,13,0.12,200,138,697,0.92,1,0,0,0,2,0.088,0.3,2.51,1.2,0.06,0.06,0.0094
Paté (average),13200,7610,26600,1770,600,10200,11000,3610,145,1770,13.4,0.68,5.55,15.1,0.15,174,193,706,2.75,0,0,0.00018,0.56,8.94,0.15,0.82,6.06,0,0.19,0.0896,0.00503
Pâté in crust,11000,22900,17100,3470,1500,8330,6440,1850,60.4,1830,19.7,0.1,1.1,15.8,0.2,130,151,723,1.3,0.267,0,0.0005,0.41,4.5,0.17,0.26,2.7,0.41,0.091,0.03,0.00072
"Rillettes, pork",14300,200,36900,0,0,14600,16400,4870,76.2,1600,0,0,1,0,0,148,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rillettes, pure pork",16700,100,38300,200,500,15200,16400,4870,84.1,970,6.9,0.06,0.91,15,0.03,130,240,389,2.3,0.0269,0.005,0.00048,1.13,0.5,0.069,0.045,3.32,0.59,0.086,0.0143,0.00106
Rillettes from Tours,18000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rillettes from Mans,15600,4700,37600,130,210,14800,16300,4290,0,1280,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rillettes, pure goose",14700,0,39800,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rillettes, duck",15400,340,39300,0,0,13000,0,0,0,1300,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rillettes, goose",17600,700,42900,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rillettes, poultry",16400,490,30300,360,250,10700,14400,4250,0,1190,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veal quenelle, in sauce",3520,15600,9500,940,1390,4560,0,0,0,1170,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poultry quenelle, raw",9300,14100,10100,1200,1100,1500,0,0,0,740,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poultry quenelle, in sauce",3550,10300,8920,1920,1200,4950,0,0,0,1100,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fish quenelle, in sauce",3790,10500,8510,970,720,3950,3600,560,0,1110,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fish quenelle, raw",8100,23600,12700,1900,2150,8200,2920,990,50.1,950,27.7,0.09,0.84,11.9,0.13,71.1,98.8,370,0.82,0,0,0,0,0,0,0,0,0,0,0,0
"Quenelle, plain, raw",7680,14800,13700,2150,2150,0,0,0,0,1040,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duck confit (conserved in rendered fat), meat (leg) without skin, reheated",32000,0,7400,0,0,2310,3560,1120,112,1890,13,0.16,2.3,17,0.01,170,300,757,5.5,0.021,0,0.00114,0.59,0.5,0.043,0.23,5.16,0.92,0.18,0.0238,0.00424
Preserved duck,25700,3310,18800,140,400,7260,8890,1780,132,1440,5.3,0.1,2.7,18.8,0.1,179,241,568,5.7,0.021,0.03,0.0018,0.46,1,0.056,0.34,7.1,0.74,0.3,0.02,0.00295
"Duck breast fillet, smoked",21900,550,30500,550,0,11300,0,0,0,3280,0,0,0,0,0,0,0,1310,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foie gras, duck's liver, whole, cooked",8410,26,54600,26,350,23000,29600,860,1040,1110,5.68,0.91,4.13,9.33,0.11,0,135,440,1.19,5.4,0,0.0002,0,31,0,0,0,0,0.3,0,0.015
"Foie gras, duck's liver, without pieces",5750,1090,50000,1090,350,19700,26600,730,395,1140,1.7,0.8,5.2,8.4,0.1,109,130,457,1.2,1.43,0,0.00275,2.4,14.7,0.1,0.57,5.8,2.15,0.95,0.142,0.00455
"Foie gras, duck's liver, 30% pieces",6880,2190,50100,1410,0,21600,27100,760,0,1290,0,0,2.1,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foie gras, duck's liver, 50% pieces",6390,4280,49500,1200,0,20200,26400,550,0,1290,0,0,2.1,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foie gras, duck, raw",5940,1410,63400,1140,0,28100,0,0,0,520,10,0,6.4,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0
Galantine (average),15100,710,23500,570,650,9830,10700,2870,0,2030,9,0,2.3,9,0,174,230,783,0,0,0,0,0,5,0.16,0.22,2.6,0,0,0,0
Rolled escalope of pork with pistachios,17700,3950,20200,700,1200,7800,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ham, in a pastry crusty",14200,19400,9320,2280,850,3660,4470,750,24.9,1910,11.7,0.066,0.71,21.1,0.095,150,296,683,1.06,0,0.0345,0.00053,1.26,7.42,0.37,0.14,2.95,0.4,0.19,0.00427,0
Head-cheese pâté or brawn,14100,3270,12900,0,0,4370,6200,1440,61,1910,13.1,0.11,1.23,9,0.02,80,69,754,1.24,0,0,0.0009,0.17,0,0.26,0.11,0.77,0.9,0.14,0.0025,0.00078
Pork snout in salad dressing sauce,8220,1020,16300,620,550,4000,9880,0,587,1750,14.7,0,1.4,7.8,0,0,97,700,1.6,0,0,0,0,0,0,0,0,0,0,0,0
Ox muzzle,26200,0,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitterling sausage,18400,300,15100,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitterling sausage from Guéméné,18000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitterling sausage, pan-reheated",22500,0,20000,200,1000,9290,7680,2060,330,2820,18,0.2,2.4,12.2,0.1,150,104,1130,3.4,0.011,0.016,0.0005,0.48,1,0.056,0.28,1.55,0.48,0.12,0.02,0.00135
Chitterling sausage from Vire,19000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitterling sausage, raw",18800,1000,16300,500,710,6940,6220,1720,284,1460,34.1,0.28,1.67,12.5,0.16,112,55.6,584,2.6,0,0,0.00025,0.39,0,0.028,0.15,0.81,0,0.1,0.0012,0.00049
"Chitterling sausage, sautéed/pan-fried",24500,540,22300,200,1000,11100,8370,2850,344,2730,35.6,0.2,2.3,9.6,0.1,98.3,64,1090,4.3,0.052,0.03,0.0005,0.41,1,0.035,0.15,0.96,0.24,0.09,0.02,0.00091
"Chitterling sausage from Troyes, raw",19700,500,19000,500,900,7910,6930,2300,310,1970,26.1,0.2,2.8,9.4,0.2,110,58.4,830,2.6,0,0,0.00025,0.55,0,0.02,0,0.8,0,0.1,0.002,0.0005
"Black pudding (blood sausage), refrigerated",12200,290,27100,200,1420,9570,10900,3500,82.5,1290,22.4,0.3,17.4,6.84,0.2,137,162,574,0.37,0,0,0.00025,0.12,0,0.034,0.13,0.41,0,0.1,0.00222,0.00019
"Black pudding (blood sausage), sautéed/pan-fried",14800,5350,21700,3900,2000,11700,7480,1990,73.8,1870,27.2,0.1,22.8,8.5,0.1,27.2,155,749,0.7,0.007,0.08,0.00075,0.13,0,0.052,0.062,0.53,0.16,0.094,0.0254,0.0002
"Black or white pudding (blood sausage), sautéed (average)",13300,5120,20300,3320,2000,10100,7800,1990,70.1,1800,32.2,0.05,16.1,9.22,0.05,59.2,157,721,0.76,0.00911,0.028,0.00071,0.23,0.075,0.084,0.085,0.93,0.17,0.097,0.024,0.0003
"White pudding, truffled, raw",11300,9010,17800,1700,1400,7400,0,0,0,1480,54,0,1.9,15.1,0,0,142,711,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Ox muzzle in salad dressing sauce,11300,1000,13100,500,0,1500,0,0,0,1590,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lardoons, raw",16600,1010,22100,780,380,7910,10400,2740,60.7,2720,20,0.35,0.42,15.6,0.2,147,540,1130,1.67,0,0,0.00075,0.3,0.8,0.42,0.16,4.87,0.4,0.21,0.002,0.00038
"Pork belly, smoked, raw",15600,790,26100,750,1000,9390,12100,3160,0,2410,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0
Bresaola,31600,2350,4300,0,0,2040,1910,150,65,3460,35,0,7.1,0,0,200,323,1390,4.1,0,0,0.0005,0.13,0,0.12,0.6,2.4,0,0.53,0.019,0
"Lardoons, cooked",23800,2000,24500,0,0,12600,8120,2600,80.6,3800,7.5,0.1,0.5,22,0.1,156,572,1650,2.1,0.002,0.004,0.0005,0.24,0,0.59,0.16,6.9,0.8,0.42,0.016,0.00067
Corned-beef,23100,100,10500,200,1500,4540,5290,450,75.5,1950,14.5,0.064,2.24,14,0.014,111,244,781,3.57,0,0,0.0002,0.15,0,0.055,0.19,3.32,0.63,0.13,0.009,0.00162
Pork ear sat-cured,22500,600,15100,0,0,5390,6860,1610,82,480,21,0.006,2.4,7,0.012,41,55,191,0.19,0,0,0,0,0,0.08,0.11,0.78,0.068,0.02,0,0.00007
Pork trotters salt-cured,11600,10,10000,0,0,2950,5680,780,83,2370,32,0.037,0.31,11,0.022,87,13,946,0.2,0.011,0,0.0004,0.21,0,0.006,0.015,0.22,0.26,0.007,0.001,0.00021
Pork belly salt-cured,16800,120,22000,120,0,8300,9950,2720,0,2000,8.4,0.05,0.52,16,0,208,256,790,1.68,0,0,0,0.34,0,0.85,0.24,10.2,0,0.3,0.00219,0.00083
"Smoked lardoons, raw",16700,350,22600,350,340,8000,10400,2920,60.1,2630,18.2,0.1,0.6,23.8,0.1,122,596,1100,1.2,0.002,0,0.00048,0.19,0.9,0.38,0.11,4.9,0.44,0.25,0.0211,0.00042
"Smoked lardoons, cooked",14700,4800,22100,900,0,8250,9520,2980,55.5,2590,10,0.054,0.82,21,0.027,296,428,1040,1.7,0,0,0.0011,0.34,0,0.43,0.2,6.92,0.52,0.45,0.004,0.00078
Viande des Grisons or Bündnerfleisch or dried beef meat,38900,560,5470,560,0,2520,1250,98,91.9,3830,30.8,0.15,1.8,46.6,0.1,278,660,1530,5.9,0.003,0,0.0005,0.01,0.5,0.062,0.26,11.8,1.33,0.7,0.0339,0.00239
"Poultry, minced meat",17700,3500,5680,1400,630,1880,0,0,0,1300,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salt curing roast poultry, cooked",22000,1280,1730,970,440,550,0,0,0,2000,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spicy pork sausage with red pepper, no precision",23500,1240,36100,1240,930,14300,16300,0,0,4240,0,0,0,0,0,0,0,1690,0,0,0.663,0,0,0,0,0,0,0,0,0,0
Dry spicy pork sausage with red pepper,20900,0,41900,2600,0,16000,18100,5760,111,3910,24,0.11,1.8,27,0.27,220,490,1560,2,0.021,0,0.00083,2.25,0,0.39,0.22,6.14,1.24,0.27,0.0514,0.00111
"Spicy pork sausage with red pepper, in large slices",22600,0,23900,2100,0,8800,10200,3790,75,4300,28,0.1,1.4,30,0.23,300,650,1720,2.7,0.021,0,0.00073,1.6,0,0.35,0.21,4.92,1.19,0.32,0.0491,0.00082
Salami,17700,2590,41800,200,0,16200,18300,5240,95.9,4050,7.2,0.07,1,15,0.28,150,300,1620,1.9,0.021,0,0.00068,1.26,3.61,0.3,0.17,3.52,1.02,0.24,0.00854,0.00158
"Salami, pure pork",22600,1220,33700,0,0,11900,16000,3740,79,5650,13,0.16,1.3,22,0.07,229,378,2260,4.2,0,0,0,0,0,0.93,0.33,5.6,1.06,0.55,0.002,0.0028
"Salami, pork and beef",21500,1560,28800,610,0,10400,12900,3710,98.5,4370,19.5,0.23,1.46,19.5,0.96,192,340,1750,2.8,0.011,0,0.00095,0.43,0,0.38,0.28,6.08,1.11,0.45,0.003,0.00134
"Salami, Danish-style",17000,1350,42900,560,0,15400,17800,5300,75,4130,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic sausage,15000,560,23600,560,630,9920,10700,2870,0,2000,9,0,2.3,9,0,174,230,783,0,0,0,0,0,5,0.16,0.22,2.6,0,0,0,0
"Cooked sausage, pure pork",13800,1300,29000,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Sausage from Paris,12500,600,32700,500,0,3500,0,0,0,1730,0,0,0,0,0,140,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage from Paris, smoked",13700,600,25600,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sausage in a brioche crust, cooked",14700,20900,17400,3800,2000,8600,6370,1580,86.4,1380,19,0.09,1.1,21,0.22,160,240,550,1.7,0.0497,0,0.0005,0.76,0,0.3,0.14,2.66,1.02,0.18,0.012,0.00054
Saveloy or cervelat,11900,1560,24800,630,400,9370,9910,4340,66.8,1950,32.6,0.11,0.5,20.4,0.1,197,187,763,1,0.003,0,0.0005,0.56,18.1,0.21,0.11,3.43,0.43,0.17,0.0329,0.00061
Saveloy or cervelat (from Obernai Alsace),13000,1000,27500,600,600,11500,0,0,0,2000,0,0,0.5,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saveloy or cervelat, pure pork with garlic",12500,200,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortadella,15000,270,26700,0,0,10600,11500,0,72.5,2130,36.5,0.1,0.8,26.9,0.1,127,270,851,1.5,0.007,0,0.00078,0.5,0,0.33,0.16,4.09,0.52,0.25,0.0315,0.00068
"Mortadella, pure pork",14800,4460,25800,1000,0,9850,11300,3480,70,2140,19,0,1.1,0,0,180,236,850,1.6,0,0,0,0.09,0,0.19,0.26,3.6,0,0.08,0.004,0
Pork and beef mortadella,16400,2530,25400,0,0,9510,11400,3120,56,3120,18,0.06,1.4,11,0.03,97,163,1250,2.1,0,0,0.001,0.22,0,0.12,0.15,2.67,0.44,0.13,0.003,0.00148
"Mortadella with pistachios, pure pork",14400,1160,28200,480,1970,11400,12100,3500,0,2080,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burger, beef based, 15% fat, raw",15800,2480,13600,570,1550,4450,6680,300,0,870,0,0,2.5,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0
Veal escalope cordon bleu (topped with a ham slice and Gruyere sauce),14000,16300,12200,2200,780,3200,4230,3220,37.5,1730,60.6,0.071,0.68,37.6,0.18,172,336,683,1.16,0.025,0.007,0.0005,2.4,0,0.13,0.12,4.8,0.6,0.28,0.016,0.00058
"Beef, meat balls, cooked",18500,3660,13300,2000,630,4800,5190,430,37,1130,29,0.083,2.2,26.9,0.15,172,326,452,2.88,0.0193,0.16,0.0002,0.38,6.94,0.072,0.1,2.8,0.48,0.23,0.0258,0.00123
"Veal, bread escalope, cooked",22900,12700,14100,490,940,2420,7040,3870,72.4,980,28.7,0.07,1.11,24.3,0.12,183,328,394,2.26,0.0129,0.00088,0.00013,3.32,0.0063,0.12,0.23,5.89,0.53,0.28,0.0153,0.00072
"Meat balls, pork and beef, (Swedish-style)",14400,7780,18600,800,800,6990,8530,2060,55.3,1510,12,0.06,1.2,16,0.18,130,250,603,2.1,0.021,0.00695,0.00025,0.33,0,0.026,0.01,3.65,0.46,0.15,0.0192,0.00125
"Meat balls, beef and lamb (kefta type), raw",15700,9460,15700,1200,800,5810,7470,1290,56.2,1030,24,0.1,2.4,26,0.33,150,330,413,3.1,0.021,0.0726,0.00025,1.04,0,0.015,0.01,3.12,0.43,0.13,0.0566,0.00175
Poultry on skewer,19000,5900,8760,920,270,1380,2110,4790,56.9,530,14.1,0.074,1,22.4,0.036,152,241,192,1.68,0.0021,0.0765,0.00006,0.62,7.92,0.058,0.13,5.13,0.7,0.32,0.00985,0.00056
Beef on skewer,18400,4930,12000,920,630,2630,2970,5390,43.5,440,7.61,0.11,1.41,21,0.031,173,308,143,2.33,0,0.0765,0,0.63,7.91,0.054,0.21,2.84,0.26,0.31,0.0143,0.00139
Mixed meat on skewer,19800,1130,13800,920,270,2420,3420,6940,50.2,620,10.9,0.094,1.2,21.7,0.034,163,275,254,2.01,0.00105,0.0765,0.00003,0.63,7.92,0.056,0.17,3.99,0.48,0.32,0.0121,0.00098
Poultry nuggets,13100,18400,13200,570,1700,2420,6350,3880,52.1,1200,16.4,0.056,0.6,24,0.15,225,215,676,0.66,0.0075,0,0.0005,2.59,0,0.11,0.086,5.65,0.72,0.27,0.0193,0.00021
Lamb on skewer,13100,4270,7240,1340,1630,2390,3730,510,36.1,400,19.6,0.092,1.28,21.9,0.054,109,242,181,1.69,0,0.135,0,0.49,10.4,0.077,0.15,4.03,0.5,0.23,0.00922,0.00082
"Pork on skewer, raw",15600,2100,6500,1100,1000,2400,0,0,0,810,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicken, nugget, breaded croquette",12000,19300,12100,1000,0,2100,6040,3180,0,1540,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicken, marinated wing, roasted/baked",22400,2100,12600,600,900,3160,4560,2040,108,1690,34.1,1,1.1,18.4,1,168,0,674,1.5,0.002,0.062,0.0004,0.7,1.4,0.05,0.05,6.3,0.77,0.15,0.005,0.0018
"Turkey, breaded escalope",7250,21700,24000,1900,3400,5280,12300,5040,49.3,1260,22,0.05,1.6,26,0.33,160,230,504,0.8,0.0402,0,0.0005,4.55,0,0.11,0.02,3.71,0.71,0.14,0.00985,0.00045
Milanese-style turkey escalope or breaded veal escalope,14100,13500,10900,1070,1300,1530,0,0,0,1030,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon, cooked (average)",23000,0,12500,0,0,2490,4590,4140,56.9,130,11.4,0.045,0.36,28.5,0.023,243,383,53.1,0.42,0,0,0,0,2.75,0.27,0.099,7.58,1.42,0.46,0.0198,0.00279
"Cod, cooked (average)",23100,0,730,0,0,140,90,250,52.1,200,15.2,0.018,0.22,26.2,0.013,193,321,80.9,0.5,0.00574,0,0.00075,0.62,0.62,0.046,0.055,2.08,0.22,0.22,0.0134,0.00155
"Atlantic herring, smoked, fillet",18100,100,9900,0,500,2240,5510,1590,54.9,3780,62,0.08,0.7,39,0.03,250,380,1510,0.51,0.021,0,0.0177,1.72,0.5,0.015,0.2,4.53,1.22,0.28,0.0108,0.0134
"European plaice, steamed",19000,0,1890,0,0,220,440,660,0,0,0,0.05,0,0,0.04,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0
"Haddock, steamed",20900,0,600,0,0,100,100,210,38,180,26,0.02,0.1,24,0.01,200,370,73,0.5,0,0,0,0.41,0,0.04,0.11,4.1,0.25,0.41,0.009,0.002
"Atlantic herring, fried",23000,0,12100,0,0,3510,5830,2250,57,0,0,0.14,0,0,0.02,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
"Atlantic herring, smoked, plain",16500,500,11700,0,0,2760,1600,5130,49.9,3980,62.4,0.1,1,34.8,0.1,155,226,1590,0.6,0.012,0,0.022,1.35,0,0.04,0.23,3.45,0.55,0.37,0.01,0.0118
"Atlantic herring, grilled/pan-fried",21600,0,11400,0,0,2480,5250,2280,54.3,340,76.5,0.15,1.51,41.5,0.045,307,425,138,1.24,0.035,0,0.0108,1.37,0.7,0.11,0.28,4.06,0.76,0.35,0.011,0.0141
"Saithe, cooked",23100,0,810,0,0,290,42,230,105,250,37.5,0.064,0.4,36,0.011,152,224,102,0.63,0.008,0.03,0.0005,1.7,1,0.058,0.08,0.8,0.14,0.081,0.0152,0.0021
"Lemon sole, steamed",17400,0,2270,0,0,120,200,310,73,300,21,0.01,0.6,20,0,250,280,120,0.5,0,0,0,0.3,0,0.1,0.1,3.8,0.29,0.28,0.013,0.001
"Mackerel, roasted/baked",21500,0,15800,0,0,4440,5450,4150,81.8,210,12.8,0.1,1.57,28.5,0.1,207,401,83,0.94,0.062,0,0.00772,0.71,0.4,0.16,0.41,6.85,0.37,0.62,0.0226,0.019
"Mackerel, fried",23600,0,10200,0,0,2960,3740,2280,0,210,0,0.16,0,0,0.06,273,323,83.3,1,0,0,0.0123,0,0,0,0.29,10.5,0.49,0.58,0,0.012
"Whiting, fried",23100,0,3610,0,0,940,1670,750,70.1,430,26.5,0.024,0.5,34.1,0.014,165,402,171,0.47,0,0,0,1.25,0,0.047,0.087,2.58,0.39,0.26,0.0289,0.00189
"Whiting, steamed",23000,0,700,0,0,130,300,200,55,280,21,0.01,0.1,28,0.01,190,400,110,0.4,0,0,0,0.44,0,0.05,0.31,1.8,0.24,0.19,0,0
"Cod, roasted/baked",22300,0,600,0,0,130,93,190,55.5,230,18.4,0.017,0.3,29.4,0.016,164,297,90.5,0.5,0.008,0,0.0012,0.7,1,0.059,0.065,2.41,0.22,0.24,0.0136,0.00127
"Cod, salted, boiled/cooked in water",26000,0,1010,0,0,130,61,220,0,5800,64.9,0.089,0.35,13.7,0.019,42,110,2320,0.84,0.002,0,0.00125,0.55,0,0.04,0.052,0.47,0.16,0.075,0.0235,0.0022
"Cod, steamed",24500,0,950,0,0,160,85,330,46.5,160,10,0.02,0.1,21,0.01,240,360,65,0.5,0.002,0,0,0.48,0,0.025,0.04,1.55,0.23,0.19,0.013,0.002
"Mullet, roasted/baked",24800,0,4860,0,0,1430,1380,920,63,180,31,0.11,1.41,33,0.051,244,458,71,1.21,0.042,0,0,0,1.2,0.08,0.13,5.05,0.88,0.49,0.01,0.00025
"Ray, roasted/baked",23000,0,500,0,0,96,96,190,0,380,50,0.03,0.6,37,0,220,320,150,0.6,0,0,0,0,0,0.15,0.25,2.5,0,0.46,0,0.008
"Nursehound or lesser spotted dogfish, cooked",25400,0,17200,0,0,4110,6980,4360,60.1,200,0,0.1,0,0,0.1,0,0,0,0.67,0.005,0,0.0005,0,0,0,0,0,0.24,0.36,0.003,0
"Salmon, smoked",22000,910,9490,0,250,2060,4000,3090,72.1,3510,5.97,0.035,0.16,38.3,0.0098,214,551,1410,0.24,0.015,0.008,0.00545,2.85,0,0.23,0.1,10,0.71,1,0.026,0.00335
"Salmon, steamed",23000,0,11500,0,0,2390,4700,3300,36.3,130,9.23,0.026,0.4,21.4,0.007,270,390,51.5,0.39,0.005,0,0.0087,2.05,0,0.22,0.11,7,1.09,0.49,0.0117,0.00305
"Tuna, roasted/baked",29900,0,1830,0,0,900,230,520,43.5,140,18.7,0.047,1.8,46,0.0076,273,445,56,0.44,0.008,0,0.00183,0.32,0,0.052,0.062,16.4,0.13,0.47,0.0406,0.00257
"Common sole, steamed",20300,0,1480,0,0,200,200,200,70.8,410,96,0.026,0.72,23.1,0.007,128,175,166,0.39,0,0,0,0,0,0.064,0.2,2.39,0,0.22,0,0.00112
"Common sole, roasted/baked",15700,0,1690,0,0,310,430,310,60.5,290,47.7,0.027,0.57,31.3,0.035,285,224,117,0.58,0.012,0,0.0035,0.77,0,0.048,0.11,1.49,0.23,0.56,0.006,0.00131
"Common sole, boiled/cooked in water",15000,0,1000,0,0,200,600,200,65,210,90,0,0.9,22,0,195,137,82,0,0,0,0,0,0,0.07,0.2,1.7,0,1,0,0
"Common sole, fried",15800,0,1000,0,0,200,600,200,65,360,0,0,0.86,28,0,250,240,144,0,0,0,0,0,0,0.07,0.18,1.53,0,0,0,0
"Ray, cooked in an aromatic stock",23200,0,570,0,0,120,48,160,67,400,0,0.03,0,24.3,0,163,0,161,0.6,0,0,0,0,0,0.04,0,0,0,0.23,0,0.0027
"Anglerfish, grilled",23000,0,680,0,0,190,100,200,26,61,11,0.3,0.46,28.5,0.1,368,472,24.5,0.64,0.05,0,0,0.6,0.5,0.035,0.077,3.09,0.19,0.21,0.0205,0.00093
"Mackerel, smoked",19800,0,24300,0,0,5350,9590,6830,80,960,20,0.09,1.1,29,0.02,267,312,384,0.1,0.0535,0,0.0052,1.6,0,0.14,0.35,10,0.52,0.5,0.008,0.00991
"Haddock, smoked",23500,0,730,0,0,130,98,220,77,1910,49,0.042,1.4,54,0.03,251,415,763,0.5,0.024,0,0.0008,0.55,0,0.047,0.049,5.07,0.17,0.4,0.015,0.0016
"Swordfish, roasted/baked",28700,0,16900,0,0,1510,8220,2670,129,180,5.5,0.046,0.53,34.1,0.021,200,475,73.4,0.78,0.043,0,0.0166,7.2,0,0.047,0.13,9.8,0.46,0.62,0.002,0.00291
"Turbot, roasted/baked",21300,0,3640,0,0,900,800,700,62,250,42.5,0.049,0.53,63.5,0.022,213,323,192,0.29,0.012,0,0,0,1.7,0.068,0.12,2.54,0.66,0.24,0.009,0.00254
"European hake, braised",21200,0,3000,0,0,920,0,590,77.4,250,41.8,0.1,0.3,29.2,0.1,190,290,99.2,0.55,0.0075,0,0.0032,0.6,0,0.052,0.086,2.65,0.24,0.23,0.0264,0.0016
"Haddock, grilled/pan-fried",20000,0,550,0,0,110,74,200,66,650,14,0.026,0.21,26,0.013,278,351,261,0.4,0.021,0,0.0006,0.55,0,0.023,0.069,4.12,0.49,0.33,0.013,0.00213
"European pilchard or sardine, grilled",25100,0,10400,0,0,2900,2940,3520,0,350,130,0.14,1.7,34,0.08,320,400,140,1.4,0,0,0.0123,0.31,0,0,0.25,6.9,0.88,0.41,0.004,0.012
"Snapper, cooked",26300,0,1720,0,0,370,320,590,47,140,40,0.046,0.82,37,0.017,201,522,57,0.44,0.035,0,0,0,1.6,0.053,0.004,0.35,0.87,0.46,0.006,0.0035
