name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Syrup, with sugar (to be diluted)",130,61100,0,61100,0,0,0,0,0,6,3.83,0.0052,0.096,2.24,0.016,4.03,24.8,2.39,0.018,0,0.016,0,0,11.8,0.014,0.015,0.05,0.047,0.017,0.0129,0
"Concentrate beverage (to be diluted), without sugar and with artificial sweeteners, ""syrup 0%"" type",500,2760,500,660,700,0,0,0,0,28,6.6,0.01,0.04,2,0.02,2.2,57,11,0.05,0,0.005,0,0.08,0.5,0.027,0.01,0.49,0.17,0.01,0.005,0
"Decaffeinated coffee, powder, instant",12700,76000,200,0,0,87,18,87,0,58,140,0.069,3.8,311,1.22,286,3500,23,0.11,0,0,0,0,0,0,1.36,28.1,0.097,0,0,0
"Cocoa powder, without sugar, powder, instant",22400,11600,20600,900,29500,12400,6650,620,0,110,140,3.9,48.5,500,4.1,690,3900,45,6.4,0,0.005,0.00273,0.61,0.5,0.076,0.12,1.15,0.82,0.01,0.107,0
"Cocoa or chocolate powder, for beverages, with sugar",6650,75600,3290,67900,10500,2160,790,180,0,210,116,0.069,13,166,0.041,244,605,85,0.7,0,0,0,0.1,0,0.06,0.04,0.5,0.041,0.02,0.023,0
"Malted cocoa or chocolate powder for beverage, with sugar",9900,79400,5030,78500,0,1870,1090,390,1,550,255,0.6,4.7,248,0.6,350,1100,219,1,0.58,0.008,0.0005,11.8,48,0.98,1.57,16.8,6.02,1.84,0.219,0.002
"Mix of chicory and coffee, powder, instant",11900,61500,300,0,14500,110,18,75,0,590,115,0.05,4.76,199,1.2,271,3400,236,0.37,0,0,0,0,0,0,0.29,23.3,0.097,0.029,0,0
"Chicory, powder, instant",3300,57200,2500,21700,29200,750,200,1500,0,390,109,0.1,5.5,65,0.1,223,0,156,0.1,0,0,0,0,0,0.04,0.12,10.1,0.05,0.28,0.0191,0
"Coffee with milk or Cappuccino, powder, instant",12800,58500,12300,55700,3710,11700,240,100,0,850,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee with milk or Cappuccino with chocolate, powder, instant",11200,67100,9130,62200,3510,7830,810,84,0,1290,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cocoa or chocolate powder, for beverages, with sugar, fortified with vitamins and chemical elements",4680,79300,3040,76700,6480,1440,0,0,0,430,523,0,2.1,113,0,120,0,169,0,0,0,0,9,49.2,0.52,0.7,8.61,1.61,0.93,0.122,0.00025
"Cocoa or chocolate powder, for beverages, with sugar, fortified with vitamins",4290,85000,2040,82700,5300,1300,590,59,0,310,36,0,2.1,71,0,120,0,124,1.7,0,0,0,0,25,0.48,0.66,5.23,2.2,0.76,0.0667,0.00033
"Lemon or lime base, for beverage, without sugar (to be diluted)",500,1310,0,910,0,0,0,0,0,3.5,6.1,0.01,0.05,3.2,0.01,4.7,44,1.4,0.05,0,0.005,0,0,5.56,0.27,0.01,0.1,0.025,0.01,0.00644,0
"Wine, white, sweet",120,10500,0,7780,0,0,0,0,0,27,7.46,0.053,0.35,9.07,0.071,9,83.1,10.9,0.11,0,0,0,0,0,0.018,0.014,0.14,0.032,0.0078,0.0001,0
Sparkling fruit wine,0,6940,0,6940,0,0,0,0,0,7.5,6,0,0.4,4,0.05,4,30,3,0.1,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0
"Wine, white, 11°",70,2580,0,1680,0,0,0,0,0,4.2,5.64,0.0078,0.49,5.72,0.11,13.5,75.3,1.7,0.083,0,0,0,0,0,0.005,0.013,0.094,0.038,0.032,0.0006,0
"Wine, white, sparkling",100,1400,0,1400,0,0,0,0,0,3.5,9.16,0.0019,0.5,5.28,0.045,7,57,1.41,0.024,0,0,0,0,0,0.005,0.01,0.07,0.03,0.017,0.0001,0
"Wine, red, 10°",200,0,0,0,0,0,0,0,0,2.1,6.41,0.01,0.93,7.55,0.092,14,130,0.84,0.13,0,0,0,0,0,0,0.02,0.09,0.04,0.02,0,0
"Wine, red, 11°",75,1030,0,620,0,0,0,0,0,2.5,5.43,0.0077,0.46,6.93,0.1,23,127,1.01,0.086,0,0.001,0,0,0,0.005,0.031,0.22,0.03,0.057,0.001,0
"Wine, red, 12°",85,1580,0,620,0,0,0,0,0,3,6.04,0.011,0.61,6.93,0.089,16.5,114,1.2,0.16,0,0.001,0,0,0,0.005,0.026,0.16,0.12,0.036,0.0006,0
"Wine, rose, 11°",200,1400,0,0,0,0,0,0,0,10,12,0.035,0.95,7,0.1,6,75,4,0.027,0,0,0,0,0,0.01,0.07,0.1,0.04,0.023,0.0002,0
Champagne,300,2810,0,1400,0,0,0,0,0,4.8,7.15,0.0062,0.11,7.97,0.049,7,22.8,1.93,0.042,0,0,0,0,0,0,0.01,0.1,0.045,0.02,0,0
"Wine, red, 13°",100,200,0,150,0,0,0,0,0,7.8,6.36,0.01,0.9,8.95,0.089,13,110,3.1,0.16,0,0,0,0,0,0.002,0.026,0.1,0.12,0.03,0.001,0
"Wine, white, sparkling, flavoured",200,5100,0,5100,0,0,0,0,0,33,14,0,0.6,0,0,13,110,13,0,0,0,0,0,0,0,0.01,0.1,0,0.01,0,0
Wine (average),130,2180,0,1360,0,0,0,0,0,7,7.46,0.018,0.61,7.16,0.09,13.4,99,2.79,0.11,0,0.00085,0,0,0.032,0.0071,0.03,0.13,0.082,0.027,0.00072,0
"Wine, white, dry, 11°",500,170,0,170,0,0,0,0,0,6.3,7.1,0.01,0.34,7.3,0.09,13.9,84.3,2.5,0.05,0,0,0,0,0.5,0.01,0.01,0.1,0.038,0.01,0.005,0
"Beer, dark",480,4100,0,4100,0,0,0,0,0,29,6.91,0.07,0.02,9.55,0,14,45,11.6,0.17,0,0,0,0,0,0.005,0.03,0.59,0.11,0.03,0.0085,0
"Beer, regular (4-5° alcohol)",390,2700,0,0,0,0,0,0,0,4.7,6.05,0.003,0.01,7.2,0.0057,11.5,36.6,1.88,0,0,0,0,0,0,0.005,0.028,0.74,0.053,0.05,0.00564,0.00002
"Beer, strong (>8° alcohol)",510,4600,0,0,0,0,0,0,0,17,4.3,0.009,0.02,9,0.018,18.4,64.2,6.8,0.013,0,0,0,0,0,0.007,0.03,0.47,0.085,0.045,0.0026,0.00002
"Cider, dry",0,2620,0,2220,0,0,0,0,0,10,3.24,0.0033,0.84,2.92,0.024,3,95.8,4.12,0.022,0,0,0,0,14.1,0,0,0,0,0,0,0
"Cider, sweet",500,5090,600,4610,0,0,0,0,0,9.8,17,0.01,0.1,3.5,0.03,6,110,3.9,0.05,0,0.005,0,0,0.5,0.015,0.01,0.1,0.064,0.01,0.005,0
"Beer, low alcohol-content (3° alcohol)",310,4620,50,90,0,0,0,0,0,4.8,7.08,0.004,0.007,5.97,0.006,11.3,34.1,1.9,0,0,0,0,0,0,0.005,0.021,0.74,0.043,0.05,0.00564,0.00002
"Beer, special (5-6° alcohol)",480,4550,50,4000,0,0,0,0,0,4.8,5.89,0.004,0.006,9.84,0.005,25,48.8,1.92,0,0,0,0,0,0,0.04,0.3,0.8,1,0.05,0.00798,0
"Beer, ""specialty"", from abbey or regional (varying alcohol content)",510,3200,0,0,0,0,0,0,0,9.3,4.9,0.006,0.012,7.9,0.008,21.5,41.6,3.7,0.018,0,0,0,0,0,0.006,0.019,0.65,0.14,0.045,0.0026,0.00002
Cider,0,1870,0,1580,0,0,0,0,0,13,8.95,0.003,0.74,3.4,0.02,3,95.8,5.35,0.02,0,0,0,0,14.1,0,0,0,0,0,0,0
"Cider, half-dry",500,960,600,810,0,0,0,0,0,7,17,0.01,0.2,3.4,0.04,7,120,2.8,0.05,0,0.005,0,0,0.5,0.015,0.01,0.1,0.086,0.02,0.005,0
Flavoured cider,500,5340,600,4960,0,0,0,0,0,8,16,0.01,0.1,4,0.05,5,110,3.2,0.05,0,0.005,0,0,0.5,0.015,0.01,0.1,0.078,0.015,0.005,0
